Stock,Date,Open,Close,Close1,Close1w,Close1m,adi_d,ema_d,ema_w,ema_m,ChangeP,ChangePreP,Close-Open,Count,,,,1000,,94
AIRC,1/22/2021,38.84999847,39.20000076,39.38999939,38.52999878,38.40999985,-2409123.905,38.41221461,38.20857685,38.40999985,0.009009068,-0.004823524,0.350002289,25,8.75005722,,1144.664827,,,
AIRC,1/25/2021,38.97000122,39.20999908,39.20000076,39.20000076,38.40999985,-2101878.607,38.51725276,38.34076671,38.40999985,0.006158529,0.000255059,0.239997864,25,5.999946594,,,,,
AIRC,1/29/2021,38.31999969,38.77000046,38.40999985,39.20000076,38.40999985,-6196141.479,38.51814293,38.71524849,38.40999985,0.011743235,0.009372575,0.450000763,26,11.70001984,,,,1.22%,
CCSI,10/21/2021,59.86000061,63.47999954,59.88999939,63.66999817,35.63000107,1733516.107,58.99675542,58.86879596,35.63000107,0.060474422,0.059943232,3.619998932,16,57.91998291,,,,,
CLI,1/4/2021,12.52999973,11.96000004,12.46000004,12.46000004,12.46000004,121238820.2,12.8019893,12.8845059,13.40413844,-0.045490799,-0.040128411,-0.569999695,79,-45.02997589,,,,,
CLI,1/5/2021,11.93000031,11.86999989,11.96000004,12.46000004,12.46000004,120706120.2,12.68972407,12.82790512,13.27825332,-0.005029373,-0.007525096,-0.06000042,83,-4.980034828,,,,,
CLI,1/6/2021,11.96000004,12.31999969,11.86999989,12.46000004,12.46000004,120530352,12.58042751,12.77885111,13.16915288,0.030100306,0.037910684,0.359999657,83,29.8799715,,,,,
CLI,1/7/2021,12.35999966,12.47999954,12.31999969,12.46000004,12.46000004,121011802.8,12.5457038,12.73633763,13.07459917,0.009708729,0.012987001,0.119999886,80,9.599990845,,,,,
CLI,1/8/2021,12.48999977,12.21000004,12.47999954,12.46000004,12.46000004,121323730.2,12.53694323,12.69949262,12.99265262,-0.022417913,-0.021634576,-0.279999733,80,-22.39997864,,,,,
CLI,1/11/2021,12.06000042,12.01000023,12.21000004,12.21000004,12.46000004,121207510,12.49335081,12.63422694,12.92163227,-0.004145953,-0.016380001,-0.050000191,82,-4.10001564,,,,,
CLI,1/12/2021,11.90999985,12.31999969,12.01000023,12.21000004,12.46000004,121113511.3,12.42890406,12.57766336,12.86008131,0.034424841,0.025811779,0.409999847,83,34.02998734,,,,,
CLI,1/13/2021,12.27999973,12.65999985,12.31999969,12.21000004,12.46000004,121383269.7,12.41438348,12.52864158,12.80673714,0.030944635,0.027597416,0.380000114,81,30.78000927,,,,,
CLI,1/14/2021,12.77999973,13.18000031,12.65999985,12.21000004,12.46000004,121769014.3,12.44713233,12.48615604,12.76050553,0.03129895,0.041074286,0.400000572,78,31.20004463,,,,,
CLI,1/15/2021,13.01000023,13.25,13.18000031,12.21000004,12.46000004,121995935.2,12.54484806,12.44933524,12.72043813,0.01844733,0.005311054,0.239999771,76,18.2399826,,,,,
CLI,1/19/2021,13.40999985,13.27999973,13.25,13.25,12.46000004,122252266.4,12.63886832,12.55609054,12.68571305,-0.009694267,0.002264131,-0.130000114,74,-9.620008469,,,,,
CLI,1/20/2021,13.17000008,13.38000011,13.27999973,13.25,12.46000004,122343043.1,12.72435251,12.6486118,12.65561798,0.015945333,0.007530149,0.210000038,75,15.75000286,,,,,
CLI,1/21/2021,13.47999954,13.44999981,13.38000011,13.25,12.46000004,122370280,12.81177219,12.7287969,12.62953559,-0.0022255,0.005231666,-0.029999733,74,-2.21998024,,,,,
CLI,1/22/2021,13.32999992,13.44999981,13.44999981,13.25,12.46000004,122595655,12.8968692,12.79829064,12.60693085,0.009002242,0,0.119999886,75,8.999991417,,,,,
